topology,num_nodes,protocol,pdr,avg_delay_ms,avg_jitter_ms,loss,max_delay_ms,throughput_kbps,avg_hops,tx,rx,lost
grid-25,25,AODV,81.6982214572576,81.16263103651686,63.326654015889375,18.27309236947791,3700.29,22.458868190135014,2.496488764044944,3486,2848,637
grid-25,25,OLSR,74.49567723342939,83.44979690522243,90.82818624219901,25.504322766570603,3896.64,0.0,2.642166344294004,694,517,177
random-50,50,AODV,34.516129032258064,2.5367438317757007,1.5266883338053432,72.58064516129032,262.002,0.0,1.8878504672897194,620,214,450
random-50,50,OLSR,100.0,1.3100649999999998,0.08917050505050504,0.0,12.0973,0.0,2.0,200,200,0
random-100,100,AODV,2.0759193357058123,2.627264809523809,1.515573515873016,107.7500988533017,272.074,0.0,1.9190476190476191,10116,210,10900
random-100,100,OLSR,100.0,1.321765,0.09747813131313132,0.0,10.4743,0.0,2.0,200,200,0
random-200,200,AODV,1.058700730652617,2.62255896713615,1.5442841200739792,108.85232864456485,267.235,0.0,1.896713615023474,20119,213,21900
random-200,200,OLSR,99.62406015037594,19.160158490566037,27.7815910107109,0.37593984962406013,893.456,0.0,2.748427672955975,798,795,3
random-500,500,AODV,10.051911278905145,2.5617656807511735,1.468084471001091,99.10335063709297,263.119,0.0,1.896713615023474,2119,213,2100
random-500,500,OLSR,100.0,1.31251,0.08387005050505049,0.0,10.1063,0.0,2.0,200,200,0
random-1000,1000,AODV,9.924385633270322,2.5129076666666665,1.4209180565175565,99.24385633270322,256.505,0.0,1.9190476190476191,2116,210,2100
