topology,num_nodes,protocol,pdr,avg_delay_ms,avg_jitter_ms,loss,max_delay_ms,throughput_kbps,avg_hops,tx,rx,lost
grid-25,25,AODV,51.759507653463785,145.5989789082317,131.66682842459608,48.41407606122771,4751.0,0.0,0.9777439024390244,6337,3280,3068
grid-25,25,OLSR,34.523809523809526,186.54339084423304,180.78720498739685,65.47619047619048,3838.65,0.0,2.821640903686088,2436,841,1595
random-50,50,AODV,4.104769351055512,2.5768168095238093,1.4937524538239537,105.5512118842846,266.207,0.0,1.9190476190476191,5116,210,5400
random-50,50,OLSR,100.0,9.418715,7.873034006734006,0.0,2022.82,0.0,2.6666666666666665,600,600,0
random-100,100,AODV,2.0759193357058123,2.627264809523809,1.515573515873016,107.7500988533017,272.074,0.0,1.9190476190476191,10116,210,10900
random-100,100,OLSR,100.0,1.321765,0.09747813131313132,0.0,10.4743,0.0,2.0,200,200,0
random-200,200,AODV,1.058700730652617,2.62255896713615,1.5442841200739792,108.85232864456485,267.235,0.0,1.896713615023474,20119,213,21900
random-200,200,OLSR,99.62406015037594,19.160158490566037,27.7815910107109,0.37593984962406013,893.456,0.0,2.748427672955975,798,795,3
random-500,500,AODV,10.051911278905145,2.5617656807511735,1.468084471001091,99.10335063709297,263.119,0.0,1.896713615023474,2119,213,2100
random-500,500,OLSR,100.0,1.31251,0.08387005050505049,0.0,10.1063,0.0,2.0,200,200,0
